[2024-03-31 15:46:30] udpate moving average: CII, row: 688
[2024-03-31 15:46:32] udpate moving average: 452980.KQ, row: 122
[2024-03-31 15:46:33] udpate moving average: WOW, row: 688
[2024-03-31 15:46:35] udpate moving average: 039340.KQ, row: 666
[2024-03-31 15:46:36] udpate moving average: 054220.KQ, row: 423
[2024-03-31 15:46:38] udpate moving average: 413630.KQ, row: 393
[2024-03-31 15:46:39] udpate moving average: PFX, row: 688
[2024-03-31 15:46:41] udpate moving average: COFS, row: 688
[2024-03-31 15:46:43] udpate moving average: MESA, row: 688
[2024-03-31 15:46:45] udpate moving average: MRM, row: 688
[2024-03-31 15:46:47] udpate moving average: 050120.KQ, row: 665
[2024-03-31 15:46:49] udpate moving average: 200710.KQ, row: 670
[2024-03-31 15:46:50] udpate moving average: BEDU, row: 688
[2024-03-31 15:46:52] udpate moving average: BY, row: 688
[2024-03-31 15:46:54] udpate moving average: FMST, row: 169
[2024-03-31 15:46:55] udpate moving average: FLYW, row: 688
[2024-03-31 15:46:57] udpate moving average: MITT, row: 688
[2024-03-31 15:46:59] udpate moving average: 223250.KQ, row: 672
[2024-03-31 15:47:01] udpate moving average: 015890.KS, row: 672
[2024-03-31 15:47:03] udpate moving average: PAC, row: 688
[2024-03-31 15:47:05] udpate moving average: MODG, row: 688
[2024-03-31 15:47:07] udpate moving average: ACBA, row: 688
[2024-03-31 15:47:09] udpate moving average: ALEX, row: 688
[2024-03-31 15:47:11] udpate moving average: KGS, row: 189
[2024-03-31 15:47:12] udpate moving average: 006650.KS, row: 20
[2024-03-31 15:47:13] udpate moving average: WAVD, row: 688
[2024-03-31 15:47:15] udpate moving average: EMCGU, row: 411
[2024-03-31 15:47:16] udpate moving average: 047310.KQ, row: 669
[2024-03-31 15:47:18] udpate moving average: DSM, row: 688
[2024-03-31 15:47:20] udpate moving average: EZPW, row: 688
[2024-03-31 15:47:22] udpate moving average: 038070.KQ, row: 672
[2024-03-31 15:47:24] udpate moving average: PTWOU, row: 414
[2024-03-31 15:47:26] udpate moving average: 002700.KS, row: 672
[2024-03-31 15:47:28] udpate moving average: GAMB, row: 675
[2024-03-31 15:47:30] udpate moving average: 013580.KS, row: 672
[2024-03-31 15:47:32] udpate moving average: PEGA, row: 688
[2024-03-31 15:47:34] udpate moving average: NWS, row: 688
[2024-03-31 15:47:36] udpate moving average: UTI, row: 688
[2024-03-31 15:47:37] udpate moving average: 241840.KQ, row: 670
[2024-03-31 15:47:39] udpate moving average: ACGLN, row: 688
[2024-03-31 15:47:41] udpate moving average: MXL, row: 688
[2024-03-31 15:47:43] udpate moving average: 030610.KS, row: 20
[2024-03-31 15:47:44] udpate moving average: 051910.KS, row: 20
[2024-03-31 15:47:45] udpate moving average: DSX, row: 688
[2024-03-31 15:47:47] udpate moving average: CNET, row: 688
[2024-03-31 15:47:49] udpate moving average: PARA, row: 688
[2024-03-31 15:47:51] udpate moving average: MTN, row: 688
[2024-03-31 15:47:53] udpate moving average: 002870.KS, row: 672
[2024-03-31 15:47:54] udpate moving average: PDD, row: 688
[2024-03-31 15:47:56] udpate moving average: ISPC, row: 688
[2024-03-31 15:47:58] udpate moving average: CRWS, row: 688
[2024-03-31 15:48:00] udpate moving average: MSA, row: 688
[2024-03-31 15:48:02] udpate moving average: 092230.KS, row: 672
[2024-03-31 15:48:04] udpate moving average: 267270.KS, row: 20
[2024-03-31 15:48:05] udpate moving average: PERI, row: 688
[2024-03-31 15:48:06] udpate moving average: 277810.KQ, row: 670
[2024-03-31 15:48:08] udpate moving average: CCZ, row: 688
[2024-03-31 15:48:10] udpate moving average: 445970.KQ, row: 308
[2024-03-31 15:48:11] udpate moving average: ATHA, row: 688
[2024-03-31 15:48:13] udpate moving average: 004360.KS, row: 672
[2024-03-31 15:48:15] udpate moving average: FRGE, row: 508
[2024-03-31 15:48:17] udpate moving average: 032800.KQ, row: None
[2024-03-31 15:48:19] udpate moving average: AIU, row: 688
[2024-03-31 15:48:20] udpate moving average: VNT, row: 688
[2024-03-31 15:48:22] udpate moving average: CELC, row: 688
[2024-03-31 15:48:24] udpate moving average: 009440.KS, row: 672
[2024-03-31 15:48:26] udpate moving average: RF PR E, row: 0
[2024-03-31 15:48:29] udpate moving average: 259630.KQ, row: 670
[2024-03-31 15:48:31] udpate moving average: MEIP, row: 688
[2024-03-31 15:48:33] udpate moving average: SIFY, row: 688
[2024-03-31 15:48:35] udpate moving average: CHWY, row: 688
[2024-03-31 15:48:37] udpate moving average: GNLN, row: 688
[2024-03-31 15:48:38] udpate moving average: GKOS, row: 688
[2024-03-31 15:48:40] udpate moving average: 081580.KQ, row: 668
[2024-03-31 15:48:42] udpate moving average: HMST, row: 688
[2024-03-31 15:48:44] udpate moving average: CHCI, row: 688
[2024-03-31 15:48:46] udpate moving average: EPR PR C, row: 0
[2024-03-31 15:48:48] udpate moving average: UBXG, row: 1
[2024-03-31 15:48:49] udpate moving average: ISRL, row: 273
[2024-03-31 15:48:51] udpate moving average: CADE, row: 688
[2024-03-31 15:48:53] udpate moving average: CRESY, row: 688
[2024-03-31 15:48:55] udpate moving average: 215000.KQ, row: 670
[2024-03-31 15:48:57] udpate moving average: 043150.KQ, row: 670
[2024-03-31 15:48:59] udpate moving average: EFXT, row: 366
[2024-03-31 15:49:00] udpate moving average: AGI, row: 688
[2024-03-31 15:49:02] udpate moving average: SHG, row: 688
[2024-03-31 15:49:04] udpate moving average: LH, row: 688
[2024-03-31 15:49:06] udpate moving average: ASNS, row: 471
[2024-03-31 15:49:07] udpate moving average: UNIT, row: 688
[2024-03-31 15:49:09] udpate moving average: MCR, row: 688
[2024-03-31 15:49:11] udpate moving average: AIB, row: 527
[2024-03-31 15:49:13] udpate moving average: HGAS, row: 66
[2024-03-31 15:49:14] udpate moving average: 067920.KQ, row: 668
[2024-03-31 15:49:15] udpate moving average: 307950.KS, row: 20
[2024-03-31 15:49:16] udpate moving average: CVEO, row: 688
[2024-03-31 15:49:18] udpate moving average: 001525.KS, row: 672
[2024-03-31 15:49:20] udpate moving average: PAG, row: 688
[2024-03-31 15:49:22] udpate moving average: URI, row: 688
[2024-03-31 15:49:24] udpate moving average: QIPT, row: 688
[2024-03-31 15:49:26] udpate moving average: 042420.KQ, row: 669
[2024-03-31 15:49:28] udpate moving average: 094800.KS, row: 672
[2024-03-31 15:49:29] udpate moving average: PGRE, row: 688
[2024-03-31 15:49:31] udpate moving average: IMCR, row: 688
[2024-03-31 15:49:33] udpate moving average: AWP, row: 688
[2024-03-31 15:49:35] udpate moving average: NXT, row: 285
[2024-03-31 15:49:37] udpate moving average: 330350.KQ, row: 669
[2024-03-31 15:49:38] udpate moving average: 053210.KS, row: 672
[2024-03-31 15:49:40] udpate moving average: QTTB, row: 3
[2024-03-31 15:49:41] udpate moving average: 034310.KS, row: 20
[2024-03-31 15:49:42] udpate moving average: 053350.KQ, row: 666
[2024-03-31 15:49:44] udpate moving average: FIX, row: 688
[2024-03-31 15:49:46] udpate moving average: HUBG, row: 688
[2024-03-31 15:49:48] udpate moving average: CRT, row: 688
[2024-03-31 15:49:50] udpate moving average: MUFG, row: 688
[2024-03-31 15:49:51] udpate moving average: PMEC, row: 118
[2024-03-31 15:49:53] udpate moving average: AWIN, row: 288
[2024-03-31 15:49:54] udpate moving average: RDIB, row: 688
[2024-03-31 15:49:56] udpate moving average: 032980.KQ, row: None
[2024-03-31 15:49:57] udpate moving average: IPW, row: 688
[2024-03-31 15:49:59] udpate moving average: ESLT, row: 688
[2024-03-31 15:50:01] udpate moving average: 138040.KS, row: 20
[2024-03-31 15:50:02] udpate moving average: TEAF, row: 688
[2024-03-31 15:50:04] udpate moving average: 009320.KS, row: 672
[2024-03-31 15:50:05] udpate moving average: RYN, row: 688
[2024-03-31 15:50:07] udpate moving average: 207940.KS, row: 20
[2024-03-31 15:50:08] udpate moving average: RFL, row: 688
[2024-03-31 15:50:10] udpate moving average: SXTP, row: 181
[2024-03-31 15:50:11] udpate moving average: 033830.KQ, row: 666
[2024-03-31 15:50:13] udpate moving average: WFC PR C, row: 0
[2024-03-31 15:50:15] udpate moving average: 190510.KQ, row: 670
[2024-03-31 15:50:17] udpate moving average: 018260.KS, row: 20
[2024-03-31 15:50:18] udpate moving average: RICK, row: 688
[2024-03-31 15:50:20] udpate moving average: WHF, row: 688
[2024-03-31 15:50:22] udpate moving average: 001620.KS, row: 672
[2024-03-31 15:50:24] udpate moving average: PMN, row: 688
[2024-03-31 15:50:25] udpate moving average: GHY, row: 688
[2024-03-31 15:50:27] udpate moving average: 456040.KS, row: 20
[2024-03-31 15:50:28] udpate moving average: DRD, row: 688
[2024-03-31 15:50:30] udpate moving average: LEN, row: 688
[2024-03-31 15:50:32] udpate moving average: PROK, row: 432
[2024-03-31 15:50:33] udpate moving average: BANX, row: 688
[2024-03-31 15:50:35] udpate moving average: BRAG, row: 688
[2024-03-31 15:50:37] udpate moving average: OMQS, row: 688
[2024-03-31 15:50:39] udpate moving average: INTG, row: 688
[2024-03-31 15:50:41] udpate moving average: ASH, row: 688
[2024-03-31 15:50:43] udpate moving average: NMM, row: 688
[2024-03-31 15:50:44] udpate moving average: DRVN, row: 688
[2024-03-31 15:50:46] udpate moving average: SAR, row: 688
[2024-03-31 15:50:48] udpate moving average: ITW, row: 688
[2024-03-31 15:50:50] udpate moving average: 134790.KS, row: 672
[2024-03-31 15:50:52] udpate moving average: PL, row: 579
[2024-03-31 15:50:53] udpate moving average: GFS, row: 607
[2024-03-31 15:50:55] udpate moving average: 005305.KS, row: 672
[2024-03-31 15:50:57] udpate moving average: INSI, row: 688
[2024-03-31 15:50:59] udpate moving average: 048550.KQ, row: 670
[2024-03-31 15:51:01] udpate moving average: STRT, row: 688
[2024-03-31 15:51:03] udpate moving average: ANET, row: 688
[2024-03-31 15:51:05] udpate moving average: UGP, row: 688
[2024-03-31 15:51:06] udpate moving average: NDP, row: 688
[2024-03-31 15:51:08] udpate moving average: 037950.KQ, row: 670
[2024-03-31 15:51:10] udpate moving average: EIX, row: 688
[2024-03-31 15:51:12] udpate moving average: BFS PR D, row: 0
