[2024-07-11 21:48:35] udpate price: FCPT, row: 3
[2024-07-11 21:48:36] udpate price: PAG, row: 3
[2024-07-11 21:48:38] udpate price: MGY, row: 3
[2024-07-11 21:48:39] udpate price: URI, row: 3
[2024-07-11 21:48:41] udpate price: FIGS, row: 3
[2024-07-11 21:48:42] udpate price: VTN, row: 3
[2024-07-11 21:48:43] udpate price: AMN, row: 3
[2024-07-11 21:48:45] udpate price: CTR, row: 3
[2024-07-11 21:48:46] udpate price: DNA, row: 3
[2024-07-11 21:48:47] udpate price: AWR, row: 3
[2024-07-11 21:48:48] udpate price: CIF, row: 3
[2024-07-11 21:48:50] udpate price: OBDE, row: 3
[2024-07-11 21:48:51] udpate price: FIX, row: 3
[2024-07-11 21:48:52] udpate price: CRT, row: 3
[2024-07-11 21:48:55] udpate price: ATH PR A, row: 0
[2024-07-11 21:48:56] udpate price: MUFG, row: 3
[2024-07-11 21:48:57] udpate price: VVI, row: 3
[2024-07-11 21:48:59] udpate price: ACI, row: 3
[2024-07-11 21:49:00] udpate price: NOMD, row: 3
[2024-07-11 21:49:01] udpate price: RCI, row: 3
[2024-07-11 21:49:03] udpate price: TEAF, row: 3
[2024-07-11 21:49:04] udpate price: ADNT, row: 3
[2024-07-11 21:49:06] udpate price: RYN, row: 3
[2024-07-11 21:49:08] udpate price: RFL, row: 3
[2024-07-11 21:49:09] udpate price: EICC, row: 3
[2024-07-11 21:49:11] udpate price: DVA, row: 3
[2024-07-11 21:49:13] udpate price: WFC PR C, row: 0
[2024-07-11 21:49:17] udpate price: TY PR, row: 0
[2024-07-11 21:49:18] udpate price: VOYA, row: 3
[2024-07-11 21:49:20] udpate price: RNP, row: 3
[2024-07-11 21:49:21] udpate price: IAG, row: 3
[2024-07-11 21:49:23] udpate price: KKR, row: 3
[2024-07-11 21:49:25] udpate price: GHY, row: 3
[2024-07-11 21:49:26] udpate price: TDG, row: 3
[2024-07-11 21:49:27] udpate price: DRD, row: 3
[2024-07-11 21:49:30] udpate price: MFA PR C, row: 0
[2024-07-11 21:49:32] udpate price: LEN, row: 3
[2024-07-11 21:49:33] udpate price: WEA, row: 3
[2024-07-11 21:49:36] udpate price: PSA PR K, row: 0
[2024-07-11 21:49:38] udpate price: OPY, row: 3
[2024-07-11 21:49:39] udpate price: BGT, row: 3
[2024-07-11 21:49:41] udpate price: ESTC, row: 3
[2024-07-11 21:49:43] udpate price: IPG, row: 3
[2024-07-11 21:49:44] udpate price: OKE, row: 3
[2024-07-11 21:49:46] udpate price: ASH, row: 3
[2024-07-11 21:49:49] udpate price: PSEC PR A, row: 0
[2024-07-11 21:49:51] udpate price: NMM, row: 3
[2024-07-11 21:49:54] udpate price: KOS, row: 3
