[2024-06-07 23:54:32] udpate price_detail: 006110.KS[2024-06-07 23:54:34] , row: 735
[2024-06-07 23:54:34] udpate price_detail: 069620.KS[2024-06-07 23:54:37] , row: 735
[2024-06-07 23:54:37] udpate price_detail: 145720.KS[2024-06-07 23:54:40] , row: 735
[2024-06-07 23:54:40] udpate price_detail: 336370.KS[2024-06-07 23:54:43] , row: 735
[2024-06-07 23:54:43] udpate price_detail: 006040.KS[2024-06-07 23:54:46] , row: 735
[2024-06-07 23:54:46] udpate price_detail: 004000.KS[2024-06-07 23:54:48] , row: 735
[2024-06-07 23:54:48] udpate price_detail: 004800.KS[2024-06-07 23:54:51] , row: 735
[2024-06-07 23:54:51] udpate price_detail: 005300.KS[2024-06-07 23:54:53] , row: 735
[2024-06-07 23:54:53] udpate price_detail: 248070.KS[2024-06-07 23:54:56] , row: 735
[2024-06-07 23:54:56] udpate price_detail: 001120.KS[2024-06-07 23:54:59] , row: 735
[2024-06-07 23:54:59] udpate price_detail: 009970.KS[2024-06-07 23:55:02] , row: 735
[2024-06-07 23:55:02] udpate price_detail: 108320.KS[2024-06-07 23:55:05] , row: 735
[2024-06-07 23:55:05] udpate price_detail: 103590.KS[2024-06-07 23:55:07] , row: 735
[2024-06-07 23:55:07] udpate price_detail: 353200.KS[2024-06-07 23:55:10] , row: 735
[2024-06-07 23:55:10] udpate price_detail: 294870.KS[2024-06-07 23:55:13] , row: 735
[2024-06-07 23:55:13] udpate price_detail: 120110.KS[2024-06-07 23:55:16] , row: 735
[2024-06-07 23:55:16] udpate price_detail: 001740.KS[2024-06-07 23:55:19] , row: 735
[2024-06-07 23:55:19] udpate price_detail: 003620.KS[2024-06-07 23:55:21] , row: 735
[2024-06-07 23:55:21] udpate price_detail: 267270.KS[2024-06-07 23:55:24] , row: 735
[2024-06-07 23:55:24] udpate price_detail: 000400.KS[2024-06-07 23:55:26] , row: 735
[2024-06-07 23:55:26] udpate price_detail: 082740.KS[2024-06-07 23:55:29] , row: 735
[2024-06-07 23:55:29] udpate price_detail: 365550.KS[2024-06-07 23:55:32] , row: 735
[2024-06-07 23:55:32] udpate price_detail: 229640.KS[2024-06-07 23:55:34] , row: 735
[2024-06-07 23:55:34] udpate price_detail: 089860.KS[2024-06-07 23:55:37] , row: 684
[2024-06-07 23:55:37] udpate price_detail: 003090.KS[2024-06-07 23:55:40] , row: 735
[2024-06-07 23:55:40] udpate price_detail: 192080.KS[2024-06-07 23:55:42] , row: 735
[2024-06-07 23:55:42] udpate price_detail: 008730.KS[2024-06-07 23:55:45] , row: 735
[2024-06-07 23:55:45] udpate price_detail: 300720.KS[2024-06-07 23:55:47] , row: 735
[2024-06-07 23:55:47] udpate price_detail: 002840.KS[2024-06-07 23:55:50] , row: 735
[2024-06-07 23:55:50] udpate price_detail: 039130.KS[2024-06-07 23:55:53] , row: 735
[2024-06-07 23:55:53] udpate price_detail: 085620.KS[2024-06-07 23:55:55] , row: 735
[2024-06-07 23:55:55] udpate price_detail: 001800.KS[2024-06-07 23:55:58] , row: 735
[2024-06-07 23:55:58] udpate price_detail: 285130.KS[2024-06-07 23:56:01] , row: 735
[2024-06-07 23:56:01] udpate price_detail: 005180.KS[2024-06-07 23:56:04] , row: 735
[2024-06-07 23:56:04] udpate price_detail: 281820.KS[2024-06-07 23:56:07] , row: 735
[2024-06-07 23:56:07] udpate price_detail: 100090.KS[2024-06-07 23:56:10] , row: 735
[2024-06-07 23:56:10] udpate price_detail: 089590.KS[2024-06-07 23:56:13] , row: 735
[2024-06-07 23:56:13] udpate price_detail: 214320.KS[2024-06-07 23:56:15] , row: 735
[2024-06-07 23:56:15] udpate price_detail: 456040.KS[2024-06-07 23:56:17] , row: 248
[2024-06-07 23:56:17] udpate price_detail: 023590.KS[2024-06-07 23:56:20] , row: 735
[2024-06-07 23:56:20] udpate price_detail: 003030.KS[2024-06-07 23:56:22] , row: 735
[2024-06-07 23:56:22] udpate price_detail: 105630.KS[2024-06-07 23:56:25] , row: 735
[2024-06-07 23:56:25] udpate price_detail: 090460.KS[2024-06-07 23:56:28] , row: 735
[2024-06-07 23:56:28] udpate price_detail: 000815.KS[2024-06-07 23:56:30] , row: 735
[2024-06-07 23:56:30] udpate price_detail: 330590.KS[2024-06-07 23:56:33] , row: 735
[2024-06-07 23:56:33] udpate price_detail: 114090.KS[2024-06-07 23:56:36] , row: 735
[2024-06-07 23:56:36] udpate price_detail: 001680.KS[2024-06-07 23:56:38] , row: 735
[2024-06-07 23:56:38] udpate price_detail: 348950.KS[2024-06-07 23:56:41] , row: 735
[2024-06-07 23:56:41] udpate price_detail: 020560.KS[2024-06-07 23:56:43] , row: 735
[2024-06-07 23:56:43] udpate price_detail: 082640.KS[2024-06-07 23:56:47] , row: 735
[2024-06-07 23:56:47] udpate price_detail: 178920.KS[2024-06-07 23:56:49] , row: 735
[2024-06-07 23:56:49] udpate price_detail: 006120.KS[2024-06-07 23:56:52] , row: 735
[2024-06-07 23:56:52] udpate price_detail: 007340.KS[2024-06-07 23:56:55] , row: 735
[2024-06-07 23:56:55] udpate price_detail: 001430.KS[2024-06-07 23:56:58] , row: 735
[2024-06-07 23:56:58] udpate price_detail: 002350.KS[2024-06-07 23:57:01] , row: 735
[2024-06-07 23:57:01] udpate price_detail: 195870.KS[2024-06-07 23:57:03] , row: 735
[2024-06-07 23:57:03] udpate price_detail: 010780.KS[2024-06-07 23:57:07] , row: 735
[2024-06-07 23:57:07] udpate price_detail: 069260.KS[2024-06-07 23:57:09] , row: 735
[2024-06-07 23:57:09] udpate price_detail: 066575.KS[2024-06-07 23:57:12] , row: 735
[2024-06-07 23:57:12] udpate price_detail: 003540.KS[2024-06-07 23:57:15] , row: 735
[2024-06-07 23:57:15] udpate price_detail: 009450.KS[2024-06-07 23:57:18] , row: 735
[2024-06-07 23:57:18] udpate price_detail: 049770.KS[2024-06-07 23:57:21] , row: 735
[2024-06-07 23:57:21] udpate price_detail: 192400.KS[2024-06-07 23:57:24] , row: 735
[2024-06-07 23:57:24] udpate price_detail: 009900.KS[2024-06-07 23:57:27] , row: 735
[2024-06-07 23:57:27] udpate price_detail: 005880.KS[2024-06-07 23:57:30] , row: 735
[2024-06-07 23:57:30] udpate price_detail: 268280.KS[2024-06-07 23:57:33] , row: 735
[2024-06-07 23:57:33] udpate price_detail: 003530.KS[2024-06-07 23:57:36] , row: 735
[2024-06-07 23:57:36] udpate price_detail: 014830.KS[2024-06-07 23:57:39] , row: 735
[2024-06-07 23:57:39] udpate price_detail: 025540.KS[2024-06-07 23:57:42] , row: 735
[2024-06-07 23:57:42] udpate price_detail: 003850.KS[2024-06-07 23:57:45] , row: 735
[2024-06-07 23:57:45] udpate price_detail: 001060.KS[2024-06-07 23:57:48] , row: 735
[2024-06-07 23:57:48] udpate price_detail: 272450.KS[2024-06-07 23:57:50] , row: 735
[2024-06-07 23:57:50] udpate price_detail: 005440.KS[2024-06-07 23:57:53] , row: 735
[2024-06-07 23:57:53] udpate price_detail: 016380.KS[2024-06-07 23:57:56] , row: 735
[2024-06-07 23:57:56] udpate price_detail: 064960.KS[2024-06-07 23:57:59] , row: 735
[2024-06-07 23:57:59] udpate price_detail: 475150.KS[2024-06-07 23:58:01] , row: 44
[2024-06-07 23:58:01] udpate price_detail: 001530.KS[2024-06-07 23:58:04] , row: 735
[2024-06-07 23:58:04] udpate price_detail: 000640.KS[2024-06-07 23:58:07] , row: 735
[2024-06-07 23:58:07] udpate price_detail: 344820.KS[2024-06-07 23:58:10] , row: 735
[2024-06-07 23:58:10] udpate price_detail: 001340.KS[2024-06-07 23:58:12] , row: 403
[2024-06-07 23:58:12] udpate price_detail: 192650.KS[2024-06-07 23:58:15] , row: 735
[2024-06-07 23:58:15] udpate price_detail: 030190.KS[2024-06-07 23:58:18] , row: 735
[2024-06-07 23:58:18] udpate price_detail: 003570.KS[2024-06-07 23:58:21] , row: 735
[2024-06-07 23:58:21] udpate price_detail: 057050.KS[2024-06-07 23:58:24] , row: 735
[2024-06-07 23:58:24] udpate price_detail: 381970.KS[2024-06-07 23:58:27] , row: 650
[2024-06-07 23:58:27] udpate price_detail: 161000.KS[2024-06-07 23:58:30] , row: 735
[2024-06-07 23:58:30] udpate price_detail: 031430.KS[2024-06-07 23:58:33] , row: 735
[2024-06-07 23:58:33] udpate price_detail: 007700.KS[2024-06-07 23:58:35] , row: 735
[2024-06-07 23:58:35] udpate price_detail: 091810.KS[2024-06-07 23:58:38] , row: 735
[2024-06-07 23:58:38] udpate price_detail: 003160.KS[2024-06-07 23:58:41] , row: 701
[2024-06-07 23:58:41] udpate price_detail: 018250.KS[2024-06-07 23:58:44] , row: 735
[2024-06-07 23:58:44] udpate price_detail: 000070.KS[2024-06-07 23:58:47] , row: 735
[2024-06-07 23:58:47] udpate price_detail: 003280.KS[2024-06-07 23:58:50] , row: 735
[2024-06-07 23:58:50] udpate price_detail: 016800.KS[2024-06-07 23:58:52] , row: 701
