[2024-06-15 00:00:55] udpate price_detail: 208140.KQ, row: 402
[2024-06-15 00:01:01] udpate price_detail: 204610.KQ, row: 380
[2024-06-15 00:01:06] udpate price_detail: 147760.KQ, row: 699
[2024-06-15 00:01:10] udpate price_detail: 062860.KQ, row: 0
[2024-06-15 00:01:15] udpate price_detail: 377460.KQ, row: 258
[2024-06-15 00:01:21] udpate price_detail: 273640.KQ, row: 667
[2024-06-15 00:01:26] udpate price_detail: 442900.KQ, row: 300
[2024-06-15 00:01:32] udpate price_detail: 093520.KQ, row: 700
[2024-06-15 00:01:36] udpate price_detail: 464440.KQ, row: 138
[2024-06-15 00:01:42] udpate price_detail: 206640.KQ, row: 700
[2024-06-15 00:01:46] udpate price_detail: 454750.KQ, row: 199
[2024-06-15 00:01:52] udpate price_detail: 089850.KQ, row: 712
[2024-06-15 00:01:56] udpate price_detail: 457550.KQ, row: 89
[2024-06-15 00:02:03] udpate price_detail: 067630.KQ, row: 715
[2024-06-15 00:02:12] udpate price_detail: 050960.KQ, row: 694
[2024-06-15 00:02:21] udpate price_detail: 066910.KQ, row: 699
[2024-06-15 00:02:27] udpate price_detail: 340440.KQ, row: 607
[2024-06-15 00:02:32] udpate price_detail: 472230.KQ, row: 64
[2024-06-15 00:02:39] udpate price_detail: 357780.KQ, row: 700
[2024-06-15 00:02:46] udpate price_detail: 335890.KQ, row: 714
[2024-06-15 00:02:52] udpate price_detail: 044780.KQ, row: 693
[2024-06-15 00:02:59] udpate price_detail: 235980.KQ, row: 714
[2024-06-15 00:03:05] udpate price_detail: 057680.KQ, row: 700
[2024-06-15 00:03:11] udpate price_detail: 391710.KQ, row: 569
[2024-06-15 00:03:18] udpate price_detail: 190650.KQ, row: 712
[2024-06-15 00:03:25] udpate price_detail: 058610.KQ, row: 700
[2024-06-15 00:03:31] udpate price_detail: 029960.KQ, row: 700
[2024-06-15 00:49:24] Try to insert 1304 codes
[2024-06-15 00:49:28] udpate price_detail: 060150.KQ, row: 5
[2024-06-15 00:49:31] udpate price_detail: 004780.KQ, row: 5
[2024-06-15 00:49:33] udpate price_detail: 442770.KQ, row: 5
[2024-06-15 00:49:35] udpate price_detail: 900260.KQ, row: 5
[2024-06-15 00:49:38] udpate price_detail: 007370.KQ, row: 5
[2024-06-15 00:49:40] udpate price_detail: 067570.KQ, row: 5
[2024-06-15 00:49:43] udpate price_detail: 239890.KQ, row: 5
[2024-06-15 00:49:45] udpate price_detail: 191410.KQ, row: 5
[2024-06-15 00:49:47] udpate price_detail: 315640.KQ, row: 5
[2024-06-15 00:49:50] udpate price_detail: 014620.KQ, row: 5
[2024-06-15 00:49:52] udpate price_detail: 012340.KQ, row: 5
[2024-06-15 00:49:55] udpate price_detail: 023910.KQ, row: 5
[2024-06-15 00:49:57] udpate price_detail: 158430.KQ, row: 5
[2024-06-15 00:49:59] udpate price_detail: 900290.KQ, row: 5
[2024-06-15 00:50:02] udpate price_detail: 101330.KQ, row: 5
[2024-06-15 00:50:04] udpate price_detail: 119500.KQ, row: 5
[2024-06-15 00:50:07] udpate price_detail: 082920.KQ, row: 5
[2024-06-15 00:50:09] udpate price_detail: 373170.KQ, row: 5
[2024-06-15 00:50:12] udpate price_detail: 034950.KQ, row: 5
[2024-06-15 00:50:15] udpate price_detail: 469480.KQ, row: 5
[2024-06-15 00:50:19] udpate price_detail: 299910.KQ, row: 402
[2024-06-15 00:50:21] udpate price_detail: 065770.KQ, row: 5
[2024-06-15 00:50:24] udpate price_detail: 445180.KQ, row: 5
[2024-06-15 00:50:26] udpate price_detail: 474660.KQ, row: 5
[2024-06-15 00:50:28] udpate price_detail: 319400.KQ, row: 5
[2024-06-15 00:50:31] udpate price_detail: 038950.KQ, row: 5
[2024-06-15 00:50:33] udpate price_detail: 005670.KQ, row: 5
[2024-06-15 00:50:36] udpate price_detail: 064550.KQ, row: 5
[2024-06-15 00:50:38] udpate price_detail: 043610.KQ, row: 5
[2024-06-15 00:50:40] udpate price_detail: 052330.KQ, row: 5
[2024-06-15 00:50:43] udpate price_detail: 126340.KQ, row: 5
[2024-06-15 00:50:45] udpate price_detail: 049630.KQ, row: 5
[2024-06-15 00:50:48] udpate price_detail: 023790.KQ, row: 5
[2024-06-15 00:50:50] udpate price_detail: 348210.KQ, row: 5
[2024-06-15 00:50:53] udpate price_detail: 044490.KQ, row: 5
[2024-06-15 00:50:55] udpate price_detail: 900250.KQ, row: 5
[2024-06-15 00:50:57] udpate price_detail: 020710.KQ, row: 5
[2024-06-15 00:51:00] udpate price_detail: 227950.KQ, row: 5
[2024-06-15 00:51:02] udpate price_detail: 900310.KQ, row: 5
[2024-06-15 00:51:05] udpate price_detail: 091340.KQ, row: 5
