[2024-03-03 14:00:13] udpate moving average: 000720.KS, row: 0
[2024-03-03 14:00:13] udpate moving average: 005385.KS, row: 0
[2024-03-03 14:00:14] udpate moving average: 035250.KS, row: 0
[2024-03-03 14:00:14] udpate moving average: 016360.KS, row: 0
[2024-03-03 14:00:15] udpate moving average: 271560.KS, row: 0
[2024-03-03 14:00:15] udpate moving average: 064350.KS, row: 0
[2024-03-03 14:00:16] udpate moving average: 003410.KS, row: 0
[2024-03-03 14:00:16] udpate moving average: 039490.KS, row: 0
[2024-03-03 14:00:17] udpate moving average: 018880.KS, row: 0
[2024-03-03 14:00:18] udpate moving average: 004990.KS, row: 0
[2024-03-03 14:00:18] udpate moving average: 079550.KS, row: 0
[2024-03-03 14:00:19] udpate moving average: 272210.KS, row: 0
[2024-03-03 14:00:19] udpate moving average: 011790.KS, row: 0
[2024-03-03 14:00:20] udpate moving average: 008930.KS, row: 0
[2024-03-03 14:00:20] udpate moving average: 000120.KS, row: 0
[2024-03-03 14:00:21] udpate moving average: 006260.KS, row: 0
[2024-03-03 14:00:22] udpate moving average: 001040.KS, row: 0
[2024-03-03 14:00:22] udpate moving average: 001450.KS, row: 0
[2024-03-03 14:00:23] udpate moving average: 383220.KS, row: 0
[2024-03-03 14:00:23] udpate moving average: 088350.KS, row: 0
[2024-03-03 14:00:24] udpate moving average: 052690.KS, row: 0
[2024-03-03 14:00:24] udpate moving average: 036460.KS, row: 0
[2024-03-03 14:00:25] udpate moving average: 028670.KS, row: 0
[2024-03-03 14:00:25] udpate moving average: 175330.KS, row: 0
[2024-03-03 14:00:26] udpate moving average: 010620.KS, row: 0
[2024-03-03 14:00:27] udpate moving average: 138930.KS, row: 0
[2024-03-03 14:00:27] udpate moving average: 002380.KS, row: 0
[2024-03-03 14:00:28] udpate moving average: 008770.KS, row: 0
[2024-03-03 14:00:28] udpate moving average: 007070.KS, row: 0
[2024-03-03 14:00:29] udpate moving average: 081660.KS, row: 0
[2024-03-03 14:00:29] udpate moving average: 051915.KS, row: 0
[2024-03-03 14:00:30] udpate moving average: 282330.KS, row: 0
[2024-03-03 14:00:30] udpate moving average: 278470.KS, row: 0
[2024-03-03 14:00:31] udpate moving average: 012750.KS, row: 672
[2024-03-03 14:00:34] udpate moving average: 000880.KS, row: 672
[2024-03-03 14:00:37] udpate moving average: 002790.KS, row: 672
[2024-03-03 14:00:40] udpate moving average: 023530.KS, row: 672
[2024-03-03 14:00:43] udpate moving average: 112610.KS, row: 672
[2024-03-03 14:00:46] udpate moving average: 030000.KS, row: 672
[2024-03-03 14:00:49] udpate moving average: 004370.KS, row: 672
[2024-03-03 14:00:52] udpate moving average: 139480.KS, row: 672
[2024-03-03 14:00:55] udpate moving average: 000990.KS, row: 672
[2024-03-03 14:00:58] udpate moving average: 111770.KS, row: 672
[2024-03-03 14:01:01] udpate moving average: 007660.KS, row: 672
[2024-03-03 14:01:04] udpate moving average: 014680.KS, row: 672
[2024-03-03 14:01:07] udpate moving average: 010120.KS, row: 672
[2024-03-03 14:01:10] udpate moving average: 010060.KS, row: 672
[2024-03-03 14:01:13] udpate moving average: 457190.KS, row: 182
[2024-03-03 14:01:15] udpate moving average: 009420.KS, row: 672
[2024-03-03 14:01:18] udpate moving average: 073240.KS, row: 672
[2024-03-03 14:01:21] udpate moving average: 006040.KS, row: 672
[2024-03-03 14:01:24] udpate moving average: 298040.KS, row: 672
[2024-03-03 14:01:27] udpate moving average: 002710.KS, row: 672
[2024-03-03 14:01:30] udpate moving average: 026960.KS, row: 672
[2024-03-03 14:01:34] udpate moving average: 004170.KS, row: 672
[2024-03-03 14:01:37] udpate moving average: 051600.KS, row: 672
[2024-03-03 14:01:43] udpate moving average: 047040.KS, row: 672
[2024-03-03 14:01:47] udpate moving average: 011210.KS, row: 672
[2024-03-03 14:01:51] udpate moving average: 000240.KS, row: 672
[2024-03-03 14:01:56] udpate moving average: 007310.KS, row: 672
[2024-03-03 14:02:00] udpate moving average: 042670.KS, row: 672
[2024-03-03 14:02:04] udpate moving average: 020150.KS, row: 672
[2024-03-03 14:02:08] udpate moving average: 145720.KS, row: 672
[2024-03-03 14:02:12] udpate moving average: 005850.KS, row: 672
[2024-03-03 14:02:16] udpate moving average: 137310.KS, row: 644
[2024-03-03 14:02:20] udpate moving average: 017800.KS, row: 672
[2024-03-03 14:02:25] udpate moving average: 204320.KS, row: 672
[2024-03-03 14:02:29] udpate moving average: 001740.KS, row: 672
[2024-03-03 14:02:33] udpate moving average: 003620.KS, row: 672
[2024-03-03 14:02:37] udpate moving average: 000150.KS, row: 672
[2024-03-03 14:02:41] udpate moving average: 139130.KS, row: 672
[2024-03-03 14:02:45] udpate moving average: 298050.KS, row: 672
[2024-03-03 14:02:49] udpate moving average: 018670.KS, row: 672
[2024-03-03 14:02:54] udpate moving average: 006110.KS, row: 672
[2024-03-03 14:02:58] udpate moving average: 248070.KS, row: 672
[2024-03-03 14:03:02] udpate moving average: 185750.KS, row: 672
[2024-03-03 14:03:06] udpate moving average: 000080.KS, row: 672
[2024-03-03 14:03:10] udpate moving average: 012510.KS, row: 672
[2024-03-03 14:03:14] udpate moving average: 006280.KS, row: 672
[2024-03-03 14:03:18] udpate moving average: 006360.KS, row: 672
[2024-03-03 14:03:21] udpate moving average: 005420.KS, row: 672
[2024-03-03 14:03:24] udpate moving average: 003690.KS, row: 672
[2024-03-03 14:03:27] udpate moving average: 069620.KS, row: 672
[2024-03-03 14:03:30] udpate moving average: 375500.KS, row: 672
[2024-03-03 14:03:33] udpate moving average: 294870.KS, row: 672
[2024-03-03 14:03:36] udpate moving average: 336260.KS, row: 672
[2024-03-03 14:03:39] udpate moving average: 003230.KS, row: 672
[2024-03-03 14:03:42] udpate moving average: 003090.KS, row: 672
[2024-03-03 14:03:45] udpate moving average: 004800.KS, row: 672
[2024-03-03 14:03:48] udpate moving average: 298020.KS, row: 672
[2024-03-03 14:03:51] udpate moving average: 009970.KS, row: 672
[2024-03-03 14:03:54] udpate moving average: 280360.KS, row: 672
[2024-03-03 14:03:57] udpate moving average: 069960.KS, row: 672
[2024-03-03 14:04:00] udpate moving average: 004000.KS, row: 672
[2024-03-03 14:04:04] udpate moving average: 108320.KS, row: 672
[2024-03-03 14:04:07] udpate moving average: 192820.KS, row: 672
[2024-03-03 14:04:10] udpate moving average: 103140.KS, row: 672
[2024-03-03 14:04:13] udpate moving average: 285130.KS, row: 672
[2024-03-03 14:04:16] udpate moving average: 001440.KS, row: 672
[2024-03-03 14:04:19] udpate moving average: 005300.KS, row: 672
[2024-03-03 14:04:22] udpate moving average: 009240.KS, row: 672
[2024-03-03 14:04:25] udpate moving average: 004490.KS, row: 672
[2024-03-03 14:04:28] udpate moving average: 353200.KS, row: 672
[2024-03-03 14:04:31] udpate moving average: 161890.KS, row: 672
[2024-03-03 14:04:34] udpate moving average: 120110.KS, row: 672
[2024-03-03 14:04:37] udpate moving average: 001120.KS, row: 672
[2024-03-03 14:04:40] udpate moving average: 267270.KS, row: 672
[2024-03-03 14:04:42] udpate moving average: 039130.KS, row: 672
[2024-03-03 14:04:45] udpate moving average: 395400.KS, row: 603
[2024-03-03 14:04:48] udpate moving average: 017860.KS, row: 45
[2024-03-03 14:04:49] udpate moving average: 008730.KS, row: 672
[2024-03-03 14:04:52] udpate moving average: 014820.KS, row: 672
[2024-03-03 14:04:56] udpate moving average: 000210.KS, row: 672
[2024-03-03 14:04:59] udpate moving average: 192080.KS, row: 672
[2024-03-03 14:05:02] udpate moving average: 089860.KS, row: 621
[2024-03-03 14:05:05] udpate moving average: 023590.KS, row: 672
[2024-03-03 14:05:07] udpate moving average: 003530.KS, row: 672
[2024-03-03 14:05:10] udpate moving average: 082640.KS, row: 672
[2024-03-03 14:05:13] udpate moving average: 000670.KS, row: 672
[2024-03-03 14:05:16] udpate moving average: 181710.KS, row: 672
[2024-03-03 14:05:19] udpate moving average: 006650.KS, row: 672
[2024-03-03 14:05:22] udpate moving average: 001430.KS, row: 672
[2024-03-03 14:05:25] udpate moving average: 002350.KS, row: 672
[2024-03-03 14:05:28] udpate moving average: 089590.KS, row: 672
[2024-03-03 14:05:31] udpate moving average: 001800.KS, row: 672
[2024-03-03 14:05:34] udpate moving average: 000400.KS, row: 672
[2024-03-03 14:05:37] udpate moving average: 003030.KS, row: 672
[2024-03-03 14:05:40] udpate moving average: 214320.KS, row: 672
[2024-03-03 14:05:43] udpate moving average: 003240.KS, row: 672
[2024-03-03 14:05:46] udpate moving average: 020560.KS, row: 672
[2024-03-03 14:05:49] udpate moving average: 085620.KS, row: 672
[2024-03-03 14:05:52] udpate moving average: 010780.KS, row: 672
[2024-03-03 14:05:56] udpate moving average: 271940.KS, row: 612
[2024-03-03 14:06:00] udpate moving average: 336370.KS, row: 672
[2024-03-03 14:06:04] udpate moving average: 365550.KS, row: 672
[2024-03-03 14:06:08] udpate moving average: 009900.KS, row: 672
[2024-03-03 14:06:12] udpate moving average: 300720.KS, row: 672
[2024-03-03 14:06:16] udpate moving average: 003540.KS, row: 672
[2024-03-03 14:06:20] udpate moving average: 006120.KS, row: 672
[2024-03-03 14:06:24] udpate moving average: 007340.KS, row: 672
[2024-03-03 14:06:28] udpate moving average: 069260.KS, row: 672
[2024-03-03 14:06:33] udpate moving average: 003850.KS, row: 672
[2024-03-03 14:06:37] udpate moving average: 105630.KS, row: 672
[2024-03-03 14:06:42] udpate moving average: 348950.KS, row: 672
[2024-03-03 14:06:46] udpate moving average: 093370.KS, row: 672
[2024-03-03 14:06:50] udpate moving average: 195870.KS, row: 672
[2024-03-03 14:06:53] udpate moving average: 281820.KS, row: 672
[2024-03-03 14:06:56] udpate moving average: 002840.KS, row: 672
[2024-03-03 14:06:59] udpate moving average: 005250.KS, row: 672
[2024-03-03 14:07:03] udpate moving average: 114090.KS, row: 672
